R,T,Mean
1,1,0.61384168620820811490546020650072023272514343261719
1,2,0.41004366284739141024218156417191494256258010864258
1,3,0.27939070074298971713133710181864444166421890258789
1,4,0.19095477033446314751863326364400563761591911315918
1,5,0.1306346746724443563802964263231842778623104095459
1,6,0.08944143730964196348232064792682649567723274230957
1,7,0.061051386516728992082114757522504078224301338195801
1,8,0.041593132610415202432552206346372258849442005157471
1,9,0.028293986988640329460764633040525950491428375244141
1,10,0.019204380094558243241564809977717231959104537963867
1,11,0.013194848069207081378562129714282491477206349372864
1,12,0.0092170606150298508424389964943657105322927236557007
2,1,0.4102876736454110218055291170458076521754264831543
2,2,0.21729172532315166321836841234471648931503295898438
2,3,0.12333904352577938767776544182197540067136287689209
2,4,0.071506701600579661293188848958379821851849555969238
2,5,0.041809893214617623036222227028702036477625370025635
2,6,0.024592062558803608890434233558153209742158651351929
2,7,0.014014776668823164876287457047965290257707238197327
2,8,0.0083364696730459306173166567077714717015624046325684
2,9,0.0047986852333653257779433332075313956011086702346802
2,10,0.0027998164925184211224151731300935352919623255729675
2,11,0.0016710860906130019232218586466842680238187313079834
2,12,0.00095517337365651005468697443134828972688410431146622
3,1,0.27953362262197795073959127876150887459516525268555
3,2,0.1238326457160884019881308404364972375333309173584
3,3,0.062641562462520991583225793419842375442385673522949
3,4,0.033145357431471365872166501276296912692487239837646
3,5,0.01776022701892866761941291997572989203035831451416
3,6,0.0095998788639168435021797876061100396327674388885498
3,7,0.0052053447292135651691680209296464454382658004760742
3,8,0.0028763417553170924322036849929418167448602616786957
3,9,0.0017225659622974406372242217599932700977660715579987
3,10,0.0009687753429404894357085398226558936585206538438797
3,11,0.00036171759491085539364035872367253432457800954580307
3,12,0.00020518186962677835666161996197587313872645609080791
4,1,0.19113933534534394143022950629529077559709548950195
4,2,0.071772249256449274779079416930471779778599739074707
4,3,0.033324683546419056612286624385887989774346351623535
4,4,0.016730695375507156907879391383175970986485481262207
4,5,0.0081836142967179181101355922578477475326508283615112
4,6,0.004065849945987891171650385757629919680766761302948
4,7,0.0018973365535394366276217281708227346825879067182541
4,8,0.00098752485896361446963964692002946321736089885234833
4,9,0.00076646368430497672109141804597243208263535052537918
4,10,0.00035094594953890005835372978282293843221850693225861
4,11,0.00029000063383763363938222523685794840275775641202927
4,12,0.00017228093936614668731446831095865945826517418026924
5,1,0.13104347307995573013172929677239153534173965454102
5,2,0.042081754811131105720178879892046097666025161743164
5,3,0.017806035831849500311596656842993979807943105697632
5,4,0.0086131193223351488336136938528397877234965562820435
5,5,0.0041563168208613434848053280745716620003804564476013
5,6,0.0019751346771950169939335850699535512831062078475952
5,7,0.0012358736945664464210864474935647194797638803720474
5,8,0.00055431949751547993435196737266323907533660531044006
5,9,0.00029218815868265943496567826898058228834997862577438
5,10,8.902955304913359312491555330737469375890213996172e-05
5,11,7.5618540241849960346215420159410314226988703012466e-05
5,12,0.00035869867763402968601632592182681946724187582731247
6,1,0.09001098272110517883870528521583764813840389251709
6,2,0.024757533566177131190144677930220495909452438354492
6,3,0.0095951873314749740184748105775724980048835277557373
6,4,0.0043338652719217621300806797535187797620892524719238
6,5,0.0019266540353696844783959463143219181802123785018921
6,6,0.00092691990580548954108824899478236147842835634946823
6,7,0.00035390645772428151478311564304135572456289082765579
6,8,8.8182723763927564728133667859566457991604693233967e-05
