R,T,Mean
1,1,0.61382804047628936050529091517091728746891021728516
1,2,0.41009177969778776162712574659963138401508331298828
1,3,0.27934002778037791969723002694081515073776245117188
1,4,0.19107735195282640749958602555125253275036811828613
1,5,0.13083554205731651176591867624665610492229461669922
1,6,0.089768180307381331695104620393976802006363868713379
1,7,0.061534687310618833844255703979797544889152050018311
1,8,0.042132668870545904316049501403540489263832569122314
1,9,0.028804828703436508030577556382922921329736709594727
1,10,0.019455561113630386038675368354233796708285808563232
1,11,0.012857566143567230113053945217416185187175869941711
1,12,0.008482010682108038351900702878083393443375825881958
2,1,0.41045177932851639734934678926947526633739471435547
2,2,0.21719917623381831961459909052791772410273551940918
2,3,0.12341405757672610499220411384158069267868995666504
2,4,0.071521934146297136414283102112676715478301048278809
2,5,0.042008534111931131183048648836120264604687690734863
2,6,0.024502453726243541426432770435894781257957220077515
2,7,0.014319554539285277855453770712301775347441434860229
2,8,0.00836766473342284364256293827111221617087721824646
2,9,0.0048503790578498257729522791237286583054810762405396
2,10,0.0029802431175121250721271604078310701879672706127167
2,11,0.0015532596814498719848401941945326143468264490365982
2,12,0.0009941663232286537983661833806081631337292492389679
3,1,0.27972377941623904895607211074093356728553771972656
3,2,0.12358673619125180864752877596401958726346492767334
3,3,0.062412398061007220984031107491318834945559501647949
3,4,0.032964389054356051100835856004778179340064525604248
3,5,0.018058100701050908837297370723717904184013605117798
3,6,0.0092096849323518945734656782065030711237341165542603
3,7,0.0049578890734641480053657147664125659503042697906494
3,8,0.0028324262142136727091190628868844214593991637229919
3,9,0.0014846342877722410163315869269240465655457228422165
3,10,0.0010602352264730502493655928120119824598077684640884
3,11,0.0005192233197563188339465622966883984190644696354866
3,12,0.00020488752829449924375282421351585071533918380737305
4,1,0.19161938072622827777813370175863383337855339050293
4,2,0.071765994864165474909079023291269550099968910217285
4,3,0.032853646195651779737811892800891655497252941131592
4,4,0.015875948984424643334323334897817403543740510940552
4,5,0.0081463383043312784237421908528631320223212242126465
4,6,0.004130071143844205559803040017641251324675977230072
4,7,0.0021727516447911771578505035762418629019521176815033
4,8,0.00095801918671070663245659115858643417595885694026947
4,9,0.00056195153818428857095401696142289438284933567047119
4,10,0.00021285295126554290025787385953748298561549745500088
4,11,7.3629763563121174239217703316739971342030912637711e-05
4,12,0.00034024779939358513721273102881070826697396114468575
5,1,0.13133565502144878278656392467382829636335372924805
5,2,0.042011584627338852127031998406891943886876106262207
5,3,0.017843081382559026343281871618273726198822259902954
5,4,0.0083726318667073206664097639873034495394676923751831
5,5,0.0040564796368476093574306773348325805272907018661499
5,6,0.002260611227116207395254621204117029265034943819046
5,7,0.001179504703719416345772397214375359908444806933403
5,8,0.00054977329285606853399859250686176892486400902271271
5,9,0.00037294970828520991167759346396337605256121605634689
5,10,0.00016671651155869901409292688221341904863948002457619
5,11,0.00011246044273461507307168560920729305507848039269447
5,12,0.0001036122221626540061733059983062332776171388104558
6,1,0.090010880018928610124540057313424767926335334777832
6,2,0.024640674528415566074679432517768873367458581924438
6,3,0.0098224871227513867177894013593686395324766635894775
6,4,0.0045037307620627948720470890009437425760552287101746
6,5,0.0019737181409689424221864939568149566184729337692261
6,6,0.00062836451174969954521637438560333066561724990606308
6,7,0.00023016630202280264640667117870265201418078504502773
6,8,0.00013669926918903466984966943442714182310737669467926
6,9,-8.2690209738749205123885255286353412884636782109737e-05
6,10,3.2146418715848262457300543726290698032244108617306e-05
6,11,-2.3323327867600121500370885518904628952441271394491e-05
