R,T,Mean
1,1,0.61389383477658487908712459102389402687549591064453
1,2,0.41055559344132130927818025156739167869091033935547
1,3,0.27994916674891667796032379555981606245040893554688
1,4,0.19157158316174055512348672891675960272550582885742
1,5,0.131318466944623679637516033835709095001220703125
1,6,0.09001579395806327821283332468738080933690071105957
1,7,0.061720412065149776736916464869864284992218017578125
1,8,0.042245294662706607546898140981284086592495441436768
1,9,0.029101807670893823504210118358059844467788934707642
1,10,0.0199973473719885046218092128356147441081702709198
1,11,0.013793191036391634282654017340519203571602702140808
1,12,0.0094659952702640139110545902667581685818731784820557
2,1,0.41049731103900288786689998232759535312652587890625
2,2,0.21743861025377711482242659712937893345952033996582
2,3,0.12367838991944792026433930232087732292711734771729
2,4,0.07176410690682015480756916758764418773353099822998
2,5,0.041894656585088285716267364477971568703651428222656
2,6,0.024655018039540285007538145123362482991069555282593
2,7,0.01460753392667989147835072571979253552854061126709
2,8,0.008260480824019757542520103754668525652959942817688
2,9,0.004828536172752227913218536770045830053277313709259
2,10,0.0028444840378349916382161310934861830901354551315308
2,11,0.0016577164604973755254735401365451252786442637443542
2,12,0.0010228270194198880310709753871378779876977205276489
3,1,0.27985422238415103013409179766313172876834869384766
3,2,0.12344474247650505382978280977113172411918640136719
3,3,0.062534635900586679757573449478513794019818305969238
3,4,0.032967395766862611639069768898480106145143508911133
3,5,0.017556862808775844375652752660244004800915718078613
3,6,0.0093947561383484201602556140642263926565647125244141
3,7,0.0052390614014795888753184271990903653204441070556641
3,8,0.0026969630838054024259131669083444649004377424716949
3,9,0.0011747959108214195509539701234302810917142778635025
3,10,0.00056732527308134739121164846764600042661186307668686
3,11,0.00031748932720862299864880706756764539022697135806084
3,12,7.4628367526599083923988242617042487836442887783051e-05
4,1,0.19167131243943935636764308583224192261695861816406
4,2,0.071623076130257021243430415324837667867541313171387
4,3,0.033039279969408932857710681219032267108559608459473
4,4,0.01659451976344257506656987288806703872978687286377
4,5,0.0084203340416503878046450282113255525473505258560181
4,6,0.004406775541109116643700982507425578660331666469574
4,7,0.0025307433389245739645267985196142035420052707195282
4,8,0.0012827857261064267661160309685897118470165878534317
4,9,0.00062964455236944700741719138648022635607048869132996
4,10,0.00049296947382585615780870025304238879471085965633392
4,11,0.00018998463040147231832219243408133024786366149783134
4,12,0.00015636855123236229124332463680246974035981111228466
5,1,0.13146214405074246878157850915158633142709732055664
5,2,0.041538842434215350607473737909458577632904052734375
5,3,0.017631491578175288031937739674503973219543695449829
5,4,0.0082115789381346886155466080481346580199897289276123
5,5,0.004066683472887731333467176142448806785978376865387
5,6,0.0017628601015632577950903447927544220874551683664322
5,7,0.00063815773023071301062181248653359944000840187072754
5,8,0.00027837016134418926310498121345915478741517290472984
5,9,-7.4898103550446465059516922002647021372467861510813e-06
5,10,-1.9347182535234960044706262194402768272993853315711e-05
5,11,3.3297646024715767815171929555617680307477712631226e-05
5,12,0.00023510305099267637843167555455892170357401482760906
6,1,0.09017457131697888261800954978752997703850269317627
6,2,0.024359685866713932239635553855805483181029558181763
6,3,0.0093175884207410825110784458047419320791959762573242
6,4,0.0040243400678073564663561612064768269192427396774292
6,5,0.0019706082665379193348542674613099734415300190448761
6,6,0.00090914938424021673069735927086298943322617560625076
6,7,0.00047671883722135750685935939863213661737972870469093
6,8,0.00025327337727160982583374249088592478074133396148682
6,9,9.4252315547897759474230833243169058732746634632349e-06
6,10,2.3254478922689403780138181487835424832155695185065e-05
6,11,9.7992144515579725932465093851675419500679709017277e-05
6,12,0.0001844705531938727635470065546741125217522494494915
7,1,0.062163295497225615204861526308377506211400032043457
7,2,0.014357581355716351675932962450588092906400561332703
7,3,0.0048185030675838300476265807503750693285837769508362
7,4,0.0023456804656164392287875930520613110275007784366608
7,5,0.00099274381357578283906206717546183426748029887676239
7,6,0.00054169264095756922312852044143482999061234295368195
7,7,0.0002500605889568782496876209187064432626357302069664
7,8,-1.7316943498765309712456722524009933295019436627626e-05
7,9,0.00029432087668013824817425660995695579913444817066193
7,10,0.00022452545739583363378251423814191412020591087639332
7,11,0.00022625458662668804146050893777442070131655782461166
7,12,3.2232427917467613293078798619717417750507593154907e-05
8,1,0.04274524229463651237015398010044009424746036529541
8,2,0.0083754893932036934139917505603989411611109972000122
8,3,0.0026597298640709515077373836788865446578711271286011
8,4,0.0011964443241267819044437725750640311161987483501434
8,5,0.00038281164932346212290831255486978079716209322214127
8,6,0.00034091358938557071028840894655331794638186693191528
8,7,-2.5926315057389982593385319153966861449589487165213e-05
8,8,-7.2020622208347783756166027302469956339336931705475e-05
8,9,-5.934239475114128180350983425561661732672291691415e-07
8,10,0.00012420156452073977766323298332906688301591202616692
8,11,2.8466118165983974257855423917185078153124777600169e-05
8,12,4.5309194993181733208346267938182450052408967167139e-05
9,1,0.029386226481693353274060598323558224365115165710449
9,2,0.0049480491189686694880611739222331380005925893783569
9,3,0.001592155662178723792010703874666432966478168964386
9,4,0.00047140491855742362031778114328517403919249773025513
9,5,0.00014687638628088959353787390504919585509924218058586
9,6,9.0567624868200181020502781414904802659293636679649e-05
9,7,8.1918779121709705084465602542564965915516950190067e-05
9,8,5.7092523286885761947886952505371027655201032757759e-05
9,9,-3.3887733182490329016112173832198095624335110187531e-05
9,10,-6.4690772305579398167123261753630458770203404128551e-05
9,11,-0.00010140297927605861582050356117790101961873006075621
9,12,-0.0001011226542740257437974840670769083317281911149621
10,1,0.020043264991030769472946104770016972906887531280518
10,2,0.0029469643666007721422017695545036986004561185836792
10,3,0.0010393260077469839656322259102694260946009308099747
10,4,0.00033386877256926878127299418430595778772840276360512
10,5,0.00012801826123275250450019024928138833274715580046177
10,6,6.7865580858960311083985517122130204370478168129921e-05
10,7,2.8666259525242760396439994918793559008918236941099e-05
10,8,7.4442278509244253270941103772795344184487476013601e-06
10,9,0.00038696002811110415120499084196126204915344715118408
10,10,-0.00028514232237903362624301117911329583876067772507668
10,11,0.00028465210081244892229013210283028456615284085273743
10,12,-0.00021581802920638137204857598394625028959126211702824
11,1,0.01362942681660765653628430982280406169593334197998
11,2,0.0016337995309227510906668889845150260953232645988464
11,3,0.00051524261899759012106603250913394731469452381134033
11,4,0.00025402192536114816690667739251807688560802489519119
11,5,8.8642275943163239865403568717994176040519960224628e-05
11,6,0.00019146173456517732308634904825339617673307657241821
11,7,2.9342558459982371287227270739705886626325082033873e-05
11,8,0.00010053738457043118084514865540057826365227811038494
11,9,-0.00017917982392430485401139950152327173782396130263805
11,10,-0.0002417133071766471908749240871117081042029894888401
11,11,-1.7756131455714661593640532610827165171940578147769e-05
11,12,6.0651980262735980020308680996099504056928708450869e-07
12,1,0.0092106727596494783472103051735757617279887199401855
12,2,0.00099581798673667367566286756641602551098912954330444
12,3,0.000391959265657798160836788881056236277800053358078
12,4,0.00030053900241937769009792358332333606085740029811859
12,5,-0.00017520049459501089192219047685483701570774428546429
12,6,-0.00023174496986819577383151513849668390321312472224236
12,7,-0.00021566108805263500152772648821297707399935461580753
12,8,0.00012998603380285058610070503259947827245923690497875
12,9,5.2279737245550970080581326682178655573807191103697e-05
12,10,-0.000355442187625433178056744143447076567099429666996
12,11,6.6528405773309012391134552311111605149562819860876e-06
12,12,0.00022615748400219349060168150256089347749366424977779
