R,T,Mean
1,1,0.61365673282476107530669651168864220380783081054688
1,2,0.4102274847557769166250807302276371046900749206543
1,3,0.27952033154168554052176887125824578106403350830078
1,4,0.19123898156489010924374838396033737808465957641602
1,5,0.13095378630516454898646827587072039023041725158691
1,6,0.08962150306428100232647437906052800826728343963623
1,7,0.061324639722010396147844346614874666556715965270996
1,8,0.042026584128767870141007989559511770494282245635986
1,9,0.028900464542791090560847067081340355798602104187012
1,10,0.019666171006539518578692948835850984323769807815552
1,11,0.013424189879085947699199898863753332989290356636047
1,12,0.0090577747431958340745827840123638452496379613876343
2,1,0.41030743448693834940499414187797810882329940795898
2,2,0.2173876172535987028044957014571991749107837677002
2,3,0.12373572283005015992607411590142874047160148620605
2,4,0.071860174578485633278823740965890465304255485534668
2,5,0.042353773068326189266130654687003698199987411499023
2,6,0.024683254741880975013934573780716164037585258483887
2,7,0.014549268893192369642153316533494944451376795768738
2,8,0.0086612942657213996822118673435397795401513576507568
2,9,0.0049209114585539413810888476064064889214932918548584
2,10,0.0027210685692183184114512073392688762396574020385742
2,11,0.0013970342908015006243294120480413766927085816860199
2,12,0.00066059698527297621827719664722167181025724858045578
3,1,0.27977554222153228069558394963678438216447830200195
3,2,0.12370119946477257932837545695292646996676921844482
3,3,0.062469870000825947209399657822359586134552955627441
3,4,0.03319682687725860475991268572215631138533353805542
3,5,0.018185980805820598643629537605193036142736673355103
3,6,0.0099824646636063243260172939130825398024171590805054
3,7,0.0053234982488588079851954404375646845437586307525635
3,8,0.0032012587205842765042396180774630920495837926864624
3,9,0.0015292542783167809364308631359108403557911515235901
3,10,0.000837376394680152086151536661162708696792833507061
3,11,0.00063563439133555884024556759115398563153576105833054
3,12,0.00057421707909204716940160251326119578152429312467575
4,1,0.19172755322928847210306457782280631363391876220703
4,2,0.071785703258799404835599489160813391208648681640625
4,3,0.032853040212470187297899570921799750067293643951416
4,4,0.016264210388730999945483546298419241793453693389893
4,5,0.0081552163355550558176965125767310382798314094543457
4,6,0.0043170392022683148902650884792819852009415626525879
4,7,0.0021773743677005906113630651077528455061838030815125
4,8,0.0013304292685703039602479469394324951281305402517319
4,9,0.0005450141007537517194928011754484487028094008564949
4,10,0.00027588263312016260506848164268944856303278356790543
4,11,0.00016103205388980047167019060694315157888922840356827
4,12,0.00018575554684713963243120060653268410533200949430466
5,1,0.13162322475321017178906402023130794987082481384277
5,2,0.042035877481897535035137991599185625091195106506348
5,3,0.01760467315074645822114973725547315552830696105957
5,4,0.0081746926851103234035189615269700880162417888641357
5,5,0.003969943756416504168638148541958798887208104133606
5,6,0.0017609121797966685498554317845787409169133752584457
5,7,0.00092786553176809976294092674464764058939181268215179
5,8,0.00048297042952709644562589441640909626585198566317558
5,9,0.00014254992893871149591683566981714648136403411626816
5,10,-0.00031847823425222040018625624391290784842567518353462
5,11,0.00014534626467389141963627852138785101487883366644382
5,12,0.00017005622124668275780244586226075398371904157102108
6,1,0.090406773756527711305430727861676132306456565856934
6,2,0.024884764064681222373032198902365053072571754455566
6,3,0.0096420850681846054230916820415586698800325393676758
6,4,0.0041645706365366292125984593042176129529252648353577
6,5,0.0020822540210320302465907271738387862569652497768402
6,6,0.0010715151041783129923223860657799377804622054100037
6,7,0.00066373390846998577170812172454361643758602440357208
6,8,0.00020046694567381668117440896015324369727750308811665
6,9,0.00010090936426164026596882794528653448651311919093132
6,10,0.00035432820882754558758018226249930648918962106108665
6,11,0.00031796416907720618160934633600334109360119327902794
6,12,0.00019694073759627268296532043301283465552842244505882
7,1,0.061974657451001106955867925307757104746997356414795
7,2,0.014814941514782093562319076340827450621873140335083
7,3,0.0053227676927320461547354923936836712528020143508911
7,4,0.0022475760618626962165922389402794578927569091320038
7,5,0.00088759797889009404373711342728370254917535930871964
7,6,0.00045650251976410465481678868648884872527560219168663
7,7,0.00026705693415742811453947314070944685227004811167717
7,8,0.00021486075576015146808804556766148152746609412133694
7,9,4.49217284009383941551472874120776168638258241117e-05
7,10,-0.00013817032358077126793886868494354303038562647998333
7,11,0.00010934460980555915936198591031924820526910480111837
7,12,4.381787101061652804634416469298230367712676525116e-05
8,1,0.042434215928669409556572844621769036166369915008545
8,2,0.0088328395164944759759828585288232716266065835952759
8,3,0.0027553236870318026027759650276038883021101355552673
8,4,0.00145868371417307517677597328287220079801045358181
8,5,0.00050887601981072165101965820710461230191867798566818
8,6,4.6318801302927303841297512754238141496898606419563e-05
8,7,-5.0105741956523891262199194018833736663509625941515e-05
8,8,0.00027705034100776801527996062723957493290072306990623
8,9,-6.9858049582794041511280003220463186153210699558258e-05
8,10,0.00032438145847559223151901353077164458227343857288361
