R,T,Mean
1,1,0.61378361190340779973695362059515900909900665283203
1,2,0.410388321199686600948552950285375118255615234375
1,3,0.27978917224672600339019368220760952681303024291992
1,4,0.19166280780723041199387068900250596925616264343262
1,5,0.13148006865372902085553619144775439053773880004883
1,6,0.090229966552803131385473989212187007069587707519531
1,7,0.061941627520126996131466512451879680156707763671875
1,8,0.042444784548733724416358370490343077108263969421387
1,9,0.029016576578327346602748093573609367012977600097656
1,10,0.019924035945018722659760612714308081194758415222168
1,11,0.013695120452243421393934141860881936736404895782471
1,12,0.0093246796673522383547272340820200042799115180969238
2,1,0.41020183586120684271492109473911114037036895751953
2,2,0.21709550338832134253053141037526074796915054321289
2,3,0.12332629087663347922099177367272204719483852386475
2,4,0.071910934964195566410083415576082188636064529418945
2,5,0.042034289644384055517623011155592394061386585235596
2,6,0.024668883319497514339246890813228674232959747314453
2,7,0.014498944015975973736987114648400165606290102005005
2,8,0.0086062511946043245003590271835491876117885112762451
2,9,0.0052116065324264732733228200345365621615201234817505
2,10,0.0030479771044441095022292653737849832396022975444794
2,11,0.0018994042274185038866179953132018454198259860277176
2,12,0.0014369296245398807329585189052068017190322279930115
3,1,0.27954513538715747289487012494646478444337844848633
3,2,0.1233159788785982979852917651442112401127815246582
3,3,0.062432913108118069656082838037036708556115627288818
3,4,0.032824579996270995818630211715571931563317775726318
3,5,0.017684684926012387423677196807147993240505456924438
3,6,0.0094466875162737846266525210126019374001771211624146
3,7,0.0050863571656043224736287733378503617132082581520081
3,8,0.0024633705961995366710837185308946573059074580669403
3,9,0.0012228552179749496275212861107206663291435688734055
3,10,0.00067926101988372857530540382953176958835683763027191
3,11,0.00041846731819143999668228484090093388658715412020683
3,12,0.00054362283574540550511178249593058353639207780361176
4,1,0.19153773334157395136223556164623005315661430358887
4,2,0.071960618558736297312172780493710888549685478210449
4,3,0.03313020966353288909722607513685943558812141418457
4,4,0.016082483977533867935960643080761656165122985839844
4,5,0.0081499691891670448390394554394333681557327508926392
4,6,0.0039875502381843874397104876550201879581436514854431
4,7,0.0021198634163941696209598752886904549086466431617737
4,8,0.00098032931918283407884961988543182087596505880355835
4,9,0.00031841671504476620410684084561125928303226828575134
4,10,0.00018941098385432438965664259100663002755027264356613
4,11,0.00015940248116945638680308494627979598590172827243805
4,12,-7.9284212234755779445324885834622818947536870837212e-05
5,1,0.13140638977890270466808431137906154617667198181152
5,2,0.042301108507545377712677492354487185366451740264893
5,3,0.017596662131458759570357130996853811666369438171387
5,4,0.0081822537684375987176998989980347687378525733947754
5,5,0.0036970673905845925083513137110458046663552522659302
5,6,0.0019113951151286158198355780157839944877196103334427
5,7,0.00086528575313450791731822997476797354465816169977188
5,8,0.00014757990461073709829824263106701209835591726005077
5,9,8.0878501745253587895158331466660683872760273516178e-05
5,10,0.00023797338854776413298759696335338276185211725533009
5,11,-3.9174803092753392110177135254645008899387903511524e-05
5,12,-0.00015493575927476763132682735513157012974261306226254
6,1,0.090130974350422929375348246594512602314352989196777
6,2,0.024830045417068357521683807931367482524365186691284
6,3,0.0093850232014374215805396772793756099417805671691895
6,4,0.0042543578391958944764916772385276999557390809059143
6,5,0.0019077691289459666659084069451068899070378392934799
6,6,0.00071132073185071478197555316924649559950921684503555
6,7,7.5051306721244143865291731376743200598866678774357e-05
