R,T,Mean
1,1,0.61353993108666626810077104892116039991378784179688
1,2,0.40999076980770093880934723529207985848188400268555
1,3,0.27916112011710886298132550109585281461477279663086
1,4,0.1908316140030155705353820394520880654454231262207
1,5,0.13051004061897197860986352679901756346225738525391
1,6,0.089376395597185659402938995299336966127157211303711
1,7,0.061087511515354332714000662463149637915194034576416
1,8,0.041999957087600701954865911602610140107572078704834
1,9,0.028838460233181324732232297947120969183743000030518
1,10,0.019879017949728752800986342208489077165722846984863
1,11,0.01362388373014008363659499423192755784839391708374
1,12,0.0093728702522066168617564940745978674385696649551392
2,1,0.41005837175895865076569180018850602209568023681641
2,2,0.2170548825680356230805045925080776214599609375
2,3,0.12333506924935885851191130768711445853114128112793
2,4,0.071509460588226575472603485650324728339910507202148
2,5,0.041645870850716304456540228784433566033840179443359
2,6,0.024298524406245938095372238763047789689153432846069
2,7,0.014188043731608453515424805857492174254730343818665
2,8,0.008329390985058353347181281378652784042060375213623
2,9,0.0048215747082847098745062019986562518170103430747986
2,10,0.0026778422530353059721752728705723711755126714706421
2,11,0.0015211047885317486964840139052057566004805266857147
2,12,0.00076806939712073128614239214684289436263497918844223
3,1,0.27942567581241067875552630539459642022848129272461
3,2,0.12361285740002937727499698894462198950350284576416
3,3,0.062658093601146436224524904901045374572277069091797
3,4,0.032928641497833872897604834406592999584972858428955
3,5,0.017669148823604364367811925262685690540820360183716
3,6,0.0097234146081493152968810989023040747269988059997559
3,7,0.0052831694724644199037677516628264129394665360450745
3,8,0.0030896143708390127850804685039065589080564677715302
3,9,0.0016802982775404975198524359925045246200170367956161
3,10,0.0010677800580234707381738212816912891867104917764664
3,11,0.00066385667445523796441342323504386513377539813518524
3,12,0.00025181077546646560760476574181154774123569950461388
4,1,0.19123174617570726230297850634087808430194854736328
4,2,0.071673500039272641792820195405511185526847839355469
4,3,0.033108199676557939494792037748993607237935066223145
4,4,0.015993803755004396688343959453959541860967874526978
4,5,0.0082175808172229320575086219946570054162293672561646
4,6,0.004222262863180463801637820608902984531596302986145
4,7,0.0022610475192503718365466536255325991078279912471771
4,8,0.001007692169189645286023204739933589735301211476326
4,9,0.00042719512784752830493115172139084734226344153285027
4,10,0.00038581543398147122086658256101543429394951090216637
4,11,-0.00028047909084927887413823954787517322984058409929276
4,12,-0.00016639022683132876929273935573405651666689664125443
5,1,0.13098437278129768102097330029209842905402183532715
5,2,0.04187388158688534756102228584495605900883674621582
5,3,0.017856950206722031759820623619816615246236324310303
5,4,0.008319800884082092715110512415321863954886794090271
5,5,0.004098441736573589858072530489607743220403790473938
5,6,0.0020849485648012332228429244196377112530171871185303
5,7,0.0011383776522898409432060784496343330829404294490814
5,8,0.00049667471023966992815790177928647608496248722076416
5,9,8.1992947195332174965820559719986704294569790363312e-05
5,10,0.0002371901662239343539385211245829054860223550349474
5,11,-2.4608376202938631525354764434387888627497886773199e-06
5,12,0.00015545659866569573560532435685388463753042742609978
6,1,0.089798097917796249056721080705756321549415588378906
6,2,0.024648150233586803292684663801992428489029407501221
6,3,0.009767861184809920049865183955262182280421257019043
6,4,0.004313644795276589533061795123103365767747163772583
6,5,0.0019388508609498448283930960300835977250244468450546
6,6,0.0010823983232309823850070262807321341824717819690704
6,7,0.0005350629386014366930743313410800965357339009642601
6,8,0.0001330449475518913566088330391323779622325673699379
6,9,0.00017466913460353704736285895826597425184445455670357
6,10,4.5914597257178102734237468141031968116294592618942e-05
6,11,8.3528079302391710823059989277084014247520826756954e-05
6,12,-0.00010045301620641881119779664777169614353624638170004
7,1,0.061567017570174770169089129012718331068754196166992
7,2,0.014501989253125971424118745289888465777039527893066
7,3,0.0053891975164379523829949469870825851103290915489197
7,4,0.0023160716229002555228977389134570330497808754444122
7,5,0.0012463106117968382729327414537578988529276102781296
7,6,0.00051509511337392930446776873054659517947584390640259
7,7,0.00037127402762174852631632537836026131117250770330429
7,8,-4.823422314777496989340876965002280485350638628006e-05
7,9,-5.1739107724908116228267757064074316986079793423414e-05
7,10,-1.3085974997361451388727497657793463758935104124248e-05
7,11,-1.9990533291443950326569597986114956711389822885394e-05
7,12,-0.0001399916155320162891150664874473363852303009480238
8,1,0.042313396797521364567362667230554507113993167877197
8,2,0.0085498568169256536353195485844480572268366813659668
8,3,0.0028927283310254655115945077170636068331077694892883
8,4,0.00096930590487794184018088827770043280906975269317627
8,5,0.00050745635486657556575268435139491884910967200994492
8,6,0.00026666043255269873549564985104609604604775086045265
8,7,0.00014950120749662208839529664583523071996751241385937
8,8,0.00012358857388625380901818473500242134832660667598248
8,9,-8.9793377024499740519936086258212526445277035236359e-05
8,10,0.00022737433749109786174438796457764055958250537514687
8,11,0.00024214635732697001031625549938297581320512108504772
8,12,0.00018816910125247452443067452954039708856726065278053
9,1,0.029097612915003737837915664954380190465599298477173
9,2,0.005281593341918047919414380686475851689465343952179
9,3,0.0016309024834194182571045494967165723210200667381287
9,4,0.00064899748952253471113299498895798933517653495073318
9,5,0.00034997874926728209142925973829107988422038033604622
9,6,0.00042436003430617664274743239261056260147597640752792
9,7,-0.00036369960072246416537405933055993045854847878217697
9,8,0.00014820726620938518263564942500920551538001745939255
9,9,0.00012414537873449229296411722156534551686490885913372
9,10,2.8211777340441210353743153871342030925006838515401e-05
9,11,-0.00012562181742291261073336816611600852411356754601002
9,12,-0.00015097107362985645899119968582624551345361396670341
10,1,0.020041787907637168691943330145477375481277704238892
10,2,0.0031996205908792724019462649920342300902120769023895
10,3,0.00086047051640628221744200310183714464074000716209412
10,4,0.00031802493624558803150467745091134474932914599776268
10,5,-9.7751282316799796649189543962243931218836223706603e-06
10,6,-9.984562298284848529984769616163475802750326693058e-05
10,7,-2.2333792876291756621326758946999291310930857434869e-05
10,8,-0.00018552321518620673622759764676004579087020829319954
10,9,-1.2740440406758708012505999784824695097995572723448e-05
10,10,-5.3571575132644816213088601042358050108305178582668e-05
10,11,-4.188413381982888288122129916146718642266932874918e-05
10,12,9.9536904124626678167647719774890902044717222452164e-05
11,1,0.013704039290885070695447112143483536783605813980103
11,2,0.0017515954620583897016761198983658687211573123931885
11,3,0.00057376851927196830579352981871465999574866145849228
11,4,-0.0001323202292950428394808365384349713167466688901186
11,5,0.00023869513719807723055137127499136795449885539710522
11,6,0.0001195180842712523873244342964561326425609877333045
11,7,-0.0001202052697033716339471143275119402460404671728611
11,8,0.0001110025878725324788862463543104297514219069853425
11,9,-0.00032399207831363590129325480404531845124438405036926
11,10,0.0002672523771481947227161846125653710259939543902874
11,11,-8.6528652290488288216681322939649589898181147873402e-05
11,12,-0.00010230076630240143658288898276254030861309729516506
12,1,0.0094484235100270718560322436019305314403027296066284
12,2,0.00096143694831082480642403531589934573275968432426453
12,3,0.00024232341595459012516949881543837364006321877241135
12,4,-8.5592146294898941230600009077988943317905068397522e-05
12,5,-0.0001222420609895154394643895789940302165632601827383
12,6,-5.669988545457829801641272404744142932031536474824e-05
12,7,0.00010461512559522424391667688725604534738522488623857
12,8,0.00025996611442849715213274097713735955039737746119499
12,9,0.00012557105985559708976814774494812354532768949866295
12,10,-0.00017086656323434950026027290270747016620589420199394
12,11,-0.00028043880762568506584062055786432665627216920256615
12,12,-0.00010852129784736021949915346640480606765777338296175
