R,T,Mean
1,1,0.61353925880536930304032239291700534522533416748047
1,2,0.4102682425497043428030963241326389834284782409668
1,3,0.27950620168796680431455570214893668889999389648438
1,4,0.19138957239446882652167403193743666633963584899902
1,5,0.13115105663996504126167508275102591142058372497559
1,6,0.089972179397898144337375470058759674429893493652344
1,7,0.061526208400296322764688738971017301082611083984375
1,8,0.042092148655338765261824107710708631202578544616699
1,9,0.028827923991672544518083398656926874537020921707153
1,10,0.019885244147431799244252204061922384425997734069824
1,11,0.013704339798711356879223899341013748198747634887695
1,12,0.0093020821705562944936573899212817195802927017211914
2,1,0.40985278992448426205186251536360941827297210693359
2,2,0.2170274702312305348250731640291633084416389465332
2,3,0.12310690420263820099577856126416008919477462768555
2,4,0.07160128885947759924679445475703687407076358795166
2,5,0.041983272479612115946068229277443606406450271606445
2,6,0.024740184458224151464733608918322715908288955688477
2,7,0.014368439012702701948476224913520127302035689353943
2,8,0.0084148068981010990669000548791700566653162240982056
2,9,0.0051769649504195356520819260026655683759599924087524
2,10,0.0030844629895432022076429134926911501679569482803345
2,11,0.0016861100521183521646489955614356404112186282873154
2,12,0.0011440439740515544447124751670230580202769488096237
3,1,0.27901903583995807389683818655612412840127944946289
3,2,0.12329239177414345884908897232890012674033641815186
3,3,0.062360784337443422864488695722684497013688087463379
3,4,0.032973836771944681212076488918683025985956192016602
3,5,0.017659416835969995313027069983036199118942022323608
3,6,0.009400424614803688100339584821085736621171236038208
3,7,0.0051668237872541777216950364959302532952278852462769
3,8,0.0027247714484900037792969307304247195133939385414124
3,9,0.0013587450944641324412920369013590971007943153381348
3,10,0.00088132120825028497767411606034215765248518437147141
3,11,0.00057981389134860309483160412113988968485500663518906
3,12,0.00027958034254824685104975912075531141454121097922325
4,1,0.19098632903632048463116177572373999282717704772949
4,2,0.071833365073487212559832926217495696619153022766113
4,3,0.032906709807100385789535579306175350211560726165771
4,4,0.015987717353985186896636605524690821766853332519531
4,5,0.0079592402436468277782122271446496597491204738616943
4,6,0.0044296273886384766524382250452163134468719363212585
4,7,0.0022100199189631760873786525678497127955779433250427
4,8,0.0011669984767376782343328844859797754907049238681793
4,9,0.00039146100928986229386050132994512296136235818266869
4,10,-2.5319743312510044707763605387196292895168880932033e-06
4,11,0.0002206252076275461604815825156222786063153762370348
4,12,0.00032666794340412483440769242371004565939074382185936
