R,T,Mean
1,1,0.61372061214671402851195125549566000699996948242188
1,2,0.41049341653226334436510569503298029303550720214844
1,3,0.28005146115127355077589754728251136839389801025391
1,4,0.19196128468506531983273077912599546834826469421387
1,5,0.13169175892576234776498722567339427769184112548828
1,6,0.090588112798638681377738635092100594192743301391602
1,7,0.0623293954263680824445792438837088411673903465271
1,8,0.042859523836523055750902244653843808919191360473633
1,9,0.029584138016583820529614712313559721224009990692139
1,10,0.020283200047886047051592939283182204235345125198364
1,11,0.014014499181702626609546946667705924483016133308411
1,12,0.0098022953449896331468149668353362358175218105316162
2,1,0.41001454671443099408989496623689774423837661743164
2,2,0.21720562171289820030395389949262607842683792114258
2,3,0.12357225999425425211342144393711350858211517333984
2,4,0.071557041902372608976889978293911553919315338134766
2,5,0.041522465105538190754952410088662873022258281707764
2,6,0.024216053827687614163899354480236070230603218078613
2,7,0.013974709307862511614706235718585958238691091537476
2,8,0.0081150316291286432590634802863860386423766613006592
2,9,0.004845433837604632039408603105812289868481457233429
2,10,0.0027990339366103290409670822924681488075293600559235
2,11,0.0016267161736355860001540518666729440155904740095139
2,12,0.001182228565683542554493046239372233685571700334549
3,1,0.27918691412734203405321409263706300407648086547852
3,2,0.12336931522851554698938514320616377517580986022949
3,3,0.062546031314298658476680259354907320812344551086426
3,4,0.033035693102913127328079667677229736000299453735352
3,5,0.017506269418654536035306890084939368534833192825317
3,6,0.0093789246545018835343743290877682738937437534332275
3,7,0.004816716200443747937509630929753257078118622303009
3,8,0.0027443133314514079473811491993728850502520799636841
3,9,0.0015179941836036656317709958585737695102579891681671
3,10,0.00073651210397632531010070344734685932053253054618835
3,11,0.00031967070440371106758090102850644598220242187380791
3,12,0.00033450641855491163511801544494517202110728248953819
4,1,0.19073260932146288149091617469821358099579811096191
4,2,0.071471289875896473753336124445922905579209327697754
4,3,0.033082631943184004352787042080308310687541961669922
4,4,0.016209249187823290133669829060636402573436498641968
4,5,0.008217300230894614490595451172794128069654107093811
4,6,0.0044900888903332495522002787424753478262573480606079
4,7,0.0023181698677181340230435413474197048344649374485016
4,8,0.0013168785312137564185580584918966451368760317564011
4,9,0.00034156580930101904970686010898361928411759436130524
4,10,0.00030609429168452242887507597224328037555096670985222
4,11,0.00024282496263948404025510841020008001578389666974545
4,12,0.00027247100581625653464498681977090654982021078467369
5,1,0.13049274404653002368270620081602828577160835266113
5,2,0.041760638752920277438906992983902455307543277740479
5,3,0.017780932145560590651456323030288331210613250732422
5,4,0.0086021448817395762542759030111483298242092132568359
5,5,0.0041151065406494768961209729241090826690196990966797
5,6,0.002284593791543378712288747678371692018117755651474
5,7,0.0010274534136828375550237746338666511292103677988052
5,8,0.00048299890580466196213921259428047960682306438684464
5,9,0.0004698434494662995274463779260543105920078232884407
5,10,0.00036913647703866854727153268278527775692055001854897
5,11,0.00012613452804105667616994812529895853003836236894131
5,12,0.00013707543165933131043728032683048922990565188229084
6,1,0.089365531280811927317131448944564908742904663085938
6,2,0.02457207436039794690163517998371389694511890411377
6,3,0.0095820860188142419067158783718696213327348232269287
6,4,0.0046291424471280621585900227898946468485519289970398
6,5,0.0017526847985517395034360532690698164515197277069092
6,6,0.00076083524292348153096610108292452423484064638614655
6,7,0.00056834566585999750452234957620589739235583692789078
6,8,1.3999059168466544523872462091329538225181750021875e-05
6,9,0.00024063135857995123444673379875524688031873665750027
6,10,0.00038270789011768320845782720418526423600269481539726
6,11,1.0000387539793505344660681788404588132834760472178e-05
6,12,0.00029029658612646615581387443683070159750059247016907
7,1,0.06124146438087681165729492249738541431725025177002
7,2,0.014483638446155199658305079424280847888439893722534
7,3,0.004846533210957373188909613759278727229684591293335
7,4,0.0021450324790345544866132510009038014686666429042816
7,5,0.00065723065480284483409062490366636666294652968645096
7,6,0.00025517176466445556145407058679097644926514476537704
7,7,0.0003249079511626020073424003786755065448232926428318
7,8,-4.9047337015681359844061770747458695041132159531116e-05
7,9,-0.00018430761004531928258683148857954847699147649109364
7,10,-0.00012568504645907213113954770111746483962633647024632
7,11,0.00020488151189171691351348369991569597914349287748337
7,12,0.00031754401456797834175233008480176977172959595918655
8,1,0.042047669488775460400198369370627915486693382263184
8,2,0.0085347445383525694789783599958354898262768983840942
8,3,0.0027612826745213570577008876938407411216758191585541
