R,T,Mean
1,1,0.613487048554713254588932613842189311981201171875
1,2,0.40989710026985021196210823291039559990167617797852
1,3,0.27938619729837205207800820971897337585687637329102
1,4,0.19133494649315616054074951080110622569918632507324
1,5,0.13122192594866416426313548981852363795042037963867
1,6,0.090021667144516689940125786506541771814227104187012
1,7,0.061730531816330515282320590131348581053316593170166
1,8,0.042291824273640039877353302699702908284962177276611
1,9,0.028864246217795277993367619728815043345093727111816
1,10,0.019699844535787023463990763616493495646864175796509
1,11,0.013586378364508698915469331325311941327527165412903
1,12,0.0094087954422776443746956331892761227209120988845825
2,1,0.40991766477380248145934160675096791237592697143555
2,2,0.21674060254623225829639920902991434559226036071777
2,3,0.12334278280801733163052347208576975390315055847168
2,4,0.071767662239228924292433475784491747617721557617188
2,5,0.042233825058710539046558096742955967783927917480469
2,6,0.024881357250252648244392972287641896400600671768188
2,7,0.014505153884541507544603256008031166857108473777771
2,8,0.0083614919504549425899320169719430850818753242492676
2,9,0.0049921360175630875855024015663730097003281116485596
2,10,0.0028506188976447567780259095826522752759046852588654
2,11,0.001682182318171805473702717925732486037304624915123
2,12,0.0010469071123387404392834909572229662444442510604858
3,1,0.27920719982094499567182310784119181334972381591797
3,2,0.12327360146320569256328525398203055374324321746826
3,3,0.062536285901574575896155749887839192524552345275879
3,4,0.033162516089016949583090365649695741012692451477051
3,5,0.018045396487949488112390028504705696832388639450073
3,6,0.0098776846042491431992838002429380139801651239395142
3,7,0.005329908627947422747328509728959033964201807975769
3,8,0.0027218053173800374998358986289304084493778645992279
3,9,0.0014376893139793432002671025315976294223219156265259
3,10,0.001012453591573466826075700097931076015811413526535
3,11,0.00051983775758932546443014111048341874266043305397034
3,12,0.00034194668745842751386709856831203069305047392845154
4,1,0.19130333756404058198619111408333992585539817810059
4,2,0.071544092019048807773451414959708927199244499206543
4,3,0.033229202681228760252185594481488806195557117462158
4,4,0.016748891490515862429111493270283972378820180892944
4,5,0.0085962970781884046750365158118256658781319856643677
4,6,0.004365544044950157159812320628589077387005090713501
4,7,0.002342595791617272001083893684381109778769314289093
4,8,0.0013092684743605973937685682528808683855459094047546
4,9,0.00026950481983792226809218406380352917039999738335609
4,10,0.00054198331537403656929519080165391642367467284202576
4,11,0.00047157425131084832001931994582832885498646646738052
4,12,0.00017278122607386367471857258060197182203410193324089
5,1,0.13134221803302373321464813216152833774685859680176
5,2,0.041853477261060055558683501431005424819886684417725
5,3,0.017893613810036006206427572351458366028964519500732
5,4,0.0081738779504286433047477444802098034415394067764282
5,5,0.0043468901580490208746976321663169073872268199920654
5,6,0.0021739669359937393786075254809020407265052199363708
5,7,0.0012619351995561921535998761711994120560120791196823
5,8,0.00051219983391693254398679968630858638789504766464233
5,9,5.2452997212385812887073394117365410238562617450953e-05
5,10,-1.6482154585862419974927979213208395492529234616086e-06
5,11,6.9206806236121973263143714039102860624552704393864e-05
5,12,2.8993879815562135609770602617807355727563844993711e-05
6,1,0.09020911998174881152312565291140344925224781036377
6,2,0.024372336069610041342503592431967263109982013702393
6,3,0.0096457840688851485821952991273064981214702129364014
6,4,0.0044809809271180514600452227114146808162331581115723
6,5,0.0022539475609828466158568449628774033044464886188507
6,6,0.0010697005351698253734771260070601783809252083301544
6,7,0.00056667333785701532768153132479937994503416121006012
6,8,0.00017316197806435814580267029683113833016250282526016
6,9,-0.00021478815340566408467748438226863072486594319343567
6,10,-0.00016608685701641488817806302513702121359528973698616
6,11,0.0001622325303706766586476356595269976423878688365221
6,12,3.0139948527744420413198092600914890226704301312566e-05
7,1,0.061963621433148000083868112142226891592144966125488
7,2,0.014183958818875731094921732733382668811827898025513
7,3,0.0052829572879512240804467104737796034896746277809143
7,4,0.0021551663102268394690830266569037121371366083621979
7,5,0.00094894062048976395799121386076535600295756012201309
7,6,0.00012928358336110012363935617418775336773251183331013
7,7,0.00017211611461827414451021545094278053511516191065311
7,8,0.00047393467404579798368802201480320945847779512405396
7,9,-6.2542951529265309898951950839940394644145271740854e-06
7,10,-0.00017380768390194318586371158286141280768788419663906
7,11,-4.2927114188524051236091338967781894098152406513691e-05
7,12,-7.5517361832913148253845769808378918241942301392555e-05
8,1,0.04262931280388361499067428894704789854586124420166
8,2,0.0081475011290520552020844036178459646180272102355957
8,3,0.0030026242009721106594744011175635023391805589199066
8,4,0.00132478111886232224718440431132648882339708507061
8,5,0.00052139286531986694678969529448409048200119286775589
8,6,7.307673989210643455526755785101045148621778935194e-05
8,7,8.6334464073221071651192959350851197086740285158157e-05
8,8,0.00018727775730557769335096751639468948269495740532875
8,9,-8.3887865007521711380178430772502906620502471923828e-05
8,10,0.00014203465051672005620489458443955754773924127221107
8,11,6.5080896247182148722440486743323617702117189764977e-05
8,12,-3.6134645538765139502913187330435107469384092837572e-05
9,1,0.029537230595990046633225745154049945995211601257324
9,2,0.0049967921166060389609464564841800893191248178482056
9,3,0.0017099053991798322631179285480129692587070167064667
9,4,0.00055421831666224881645516076034141406125854700803757
9,5,0.00011722170568935486034689574807998724281787872314453
