R,T,Mean
1,1,0.61370909880989388263117234600940719246864318847656
1,2,0.41023635033675664995911347432411275804042816162109
1,3,0.2796053966943922719501358642446575686335563659668
1,4,0.19159672531413471374683865633414825424551963806152
1,5,0.13140174581897592909207617140054935589432716369629
1,6,0.090166288965871213556546592826634878292679786682129
1,7,0.062067226800038732825726128794485703110694885253906
1,8,0.042748272788286210965846834142212173901498317718506
1,9,0.029201051153932702092452800002320145722478628158569
1,10,0.019871522943807656130799088600724644493311643600464
1,11,0.013713828795202626792404387856549874413758516311646
1,12,0.0092846598510529666087309763611301605124026536941528
2,1,0.41022053429754212761082499127951450645923614501953
2,2,0.21718204217926323496001828061707783490419387817383
2,3,0.12349859595040700577239789481609477661550045013428
2,4,0.07183843595791110370196719259183737449347972869873
2,5,0.042160917631555550055821868227212689816951751708984
2,6,0.02474647352883114700961009191360062686726450920105
2,7,0.014775072078819107695979440109113056678324937820435
2,8,0.0086472973694279812312268873597531637642532587051392
2,9,0.0050719413917254176776827634398614463862031698226929
2,10,0.0030520776230018240027241915868216892704367637634277
2,11,0.0018792337002278844751423925174549367511644959449768
2,12,0.0012439189568874140304211017848956544185057282447815
3,1,0.27942566189155970679536267198272980749607086181641
3,2,0.12337042364405667593807436333008809015154838562012
3,3,0.062542487577675262566678782150120241567492485046387
3,4,0.032942928825156793382067377251587458886206150054932
3,5,0.017582654402699772477891571043073781765997409820557
3,6,0.0093472904876224886805413660795238683931529521942139
3,7,0.0051203403761292173163033325522519589867442846298218
3,8,0.0030314790775949722323456825279208715073764324188232
3,9,0.00166277416555946728690673630524088366655632853508
3,10,0.00069007689179763386563143390262098364473786205053329
3,11,0.00023904625863592881000914414091340631784987635910511
3,12,-1.7953894680626658196705147663152501991135068237782e-05
4,1,0.19133156730115080668142013564647641032934188842773
4,2,0.071793620828332252448156225455022649839520454406738
4,3,0.032981704922113004585515483313429285772144794464111
4,4,0.016385078545659612081486500301252817735075950622559
4,5,0.0084719696791354538040197397208430629689246416091919
4,6,0.0042356707028322051686308746809572767233476042747498
4,7,0.0023429342656547695253332896925257955444976687431335
4,8,0.0013864216850628986472254711159735052206087857484818
4,9,0.0008101354699482078659464323600047919171629473567009
4,10,-1.8147031623532847361465053515061640609928872436285e-05
4,11,0.00047752563441889395775413751366045289614703506231308
4,12,0.00014815532537419039355378047595479529263684526085854
5,1,0.13106103496223567295153600298363016918301582336426
