R,T,Mean
1,1,0.61378568611198192073175050609279423952102661132812
1,2,0.41050990703121564839861434847989585250616073608398
1,3,0.2799082474693666000575831276364624500274658203125
1,4,0.19177124636464340512453929932235041633248329162598
1,5,0.13151547818068493045373656968877185136079788208008
1,6,0.090293623150549867650838109511823859065771102905273
1,7,0.061892782481397991267701996775940642692148685455322
1,8,0.042501950408457819796659293842822080478072166442871
1,9,0.02926086778973759766619977540358377154916524887085
1,10,0.020288436347922413072186742510893964208662509918213
1,11,0.014124156426566102442987649112637882353737950325012
1,12,0.0097624944008163540981604100466029194649308919906616
2,1,0.41049144265712783630206672569329384714365005493164
2,2,0.2174372389522602755373981153752538375556468963623
2,3,0.12406986882135208338784337911420152522623538970947
2,4,0.072113447091901594632190608535893261432647705078125
2,5,0.041938644704675231977830662799533456563949584960938
2,6,0.024488584742746014738523641085521376226097345352173
2,7,0.014252280065120323179761463450176961487159132957458
2,8,0.0082783713558822521333402377763377444352954626083374
2,9,0.0047745999037678938867190758799097238807007670402527
2,10,0.0027730919930483177195112975965685109258629381656647
2,11,0.001623150142411435362110871949425927596166729927063
2,12,0.00089051623633402694334842975010246846068184822797775
3,1,0.27982388307772748659019157457805704325437545776367
3,2,0.12385903206861903491642351582413539290428161621094
3,3,0.063302445446374117077326104663370642811059951782227
3,4,0.0335684803997126288144237094002164667472243309021
3,5,0.018161865229609188560067067896852677222341299057007
3,6,0.00986626592662006793310602859037317102774977684021
3,7,0.0053541034570904928735490813096475903876125812530518
3,8,0.0030943972220563477348864722671351046301424503326416
3,9,0.0018318404992818625425660128414051541767548769712448
3,10,0.0010210937135791209665058865141418209532275795936584
3,11,0.00060961245032048970958482581039561409852467477321625
3,12,0.00050858267538815950595254555821611575083807110786438
4,1,0.19171339809188833736008916730497730895876884460449
4,2,0.071753208838491705501283490775676909834146499633789
4,3,0.03340285805147386738456205534930631984025239944458
4,4,0.016800310051233200564491099271435814443975687026978
4,5,0.0084954206457685497999587909134788787923753261566162
4,6,0.0044403413262887993576133460749133519129827618598938
4,7,0.0023670161166525201072718953554385734605602920055389
4,8,0.0013124004642667867152200367186765106453094631433487
4,9,0.00061150454993234534036700145165355024801101535558701
4,10,0.00011076233673727044041785322336934882514469791203737
4,11,0.0001201966194258195552756543489358875831385375931859
4,12,0.00039316742969599778947942247953051264630630612373352
5,1,0.13149937674106301765952764526446117088198661804199
5,2,0.042310045362725201556486354093067348003387451171875
5,3,0.017987367809833631343563453697242948692291975021362
5,4,0.0084226122865027740899135366703376348596066236495972
5,5,0.0040404507704069380150113666161360015394166111946106
5,6,0.0019624087644732313671924739395535652874968945980072
5,7,0.0011348875217231176211474252824018549290485680103302
5,8,0.00055270010919924387592788717071812243375461548566818
5,9,-3.0684664063318758064034807997444431748590432107449e-05
5,10,0.00015523133654822933989204936100492204786860384047031
5,11,0.00012388238993315894040207758575178331739152781665325
5,12,-0.00014578306889324990679515647862274363433243706822395
6,1,0.090066887200602116503311833639600081369280815124512
6,2,0.024868581893325095166780158706387737765908241271973
6,3,0.0097447701961022783340160557941089791711419820785522
6,4,0.0045086005358314406102349103377946448745205998420715
6,5,0.00213935493033053135761289986760402825893834233284
6,6,0.0010157701997332568844001343677518889307975769042969
6,7,0.00074769848907878916875746622139331520884297788143158
6,8,0.00038481491704456249891563857090659439563751220703125
6,9,0.00018504622660241404168146583941734206746332347393036
6,10,-0.00022723488931944928583342435679526261083083227276802
6,11,1.8794699937062488907628388101755945172044448554516e-05
6,12,-0.00041053597776579786420014794856570006231777369976044
7,1,0.061675302544233284729457977846323046833276748657227
7,2,0.01471532992821965660223959559971262933686375617981
7,3,0.005145028687558655250411376869124069344252347946167
7,4,0.0024084458363896965940598171584952069679275155067444
7,5,0.00063424685758389819437153001047136058332398533821106
7,6,0.00088354935066227576704461776913035464531276375055313
7,7,0.00025524572509861713541859384868359938991488888859749
7,8,0.00029708790944175228997126136931683504371903836727142
7,9,0.00012096002379325120372130508705765805643750354647636
7,10,0.00013942380935035012293719824949533858671202324330807
7,11,0.00010922073063929488951576823874134447578398976475
7,12,-2.7582636563192130528022767005369431103645183611661e-06
8,1,0.0423720232502188473566739901343680685386061668396
8,2,0.0085394514355135540256691584204418177250772714614868
8,3,0.003141892403604395426347517528142816445324569940567
8,4,0.0013673700203991607897424653828011287259869277477264
8,5,0.00018497888201547021242397705886872927294461987912655
8,6,0.00050146121583527448681283367193373123882338404655457
8,7,-4.5223485517402016041401541235345007407886441797018e-05
8,8,5.1204608901079970639601919232819504657072684494779e-07
8,9,-7.8558653117333201358705313532837521961482707411051e-06
8,10,-0.00020187270983617800379668338894845192044158466160297
8,11,0.00010351998687239941554678879231943255945225246250629
8,12,-0.00017593653628438500028004221054089839526568539440632
9,1,0.028934184291062588906262575960681715514510869979858
9,2,0.0050059597340985752603192970866530231432989239692688
9,3,0.0015549948942378735011748958072530513163655996322632
9,4,0.00057191403488704439794787504069972783327102661132812
9,5,0.00038114278605632252163934459154859268892323598265648
9,6,0.00040764489363310536925930072094104161806171759963036
9,7,3.9158296355218726329718709200378157220256980508566e-05
9,8,-0.0002516343656790288158507651328221754738478921353817
9,9,9.925135886884249548315489741767692066787276417017e-05
9,10,-0.00024751354746183805649942244464511986734578385949135
9,11,-8.9827246390533781769498211655644581696833483874798e-05
9,12,-8.1464277560800750434440165026472868703422136604786e-05
10,1,0.019858646081053338283695097743475344032049179077148
10,2,0.0030356532043895024207402766336372224031947553157806
10,3,0.00097832093202126785974614975316399068105965852737427
10,4,0.00023343661235254717432711923930099828794482164084911
10,5,0.00017883694066025347300073755629767902064486406743526
10,6,-1.0491746568836484218697688297616821273550158366561e-05
10,7,-0.00021133107713961746102794558854753859122865833342075
10,8,-2.1645595815866455915001467791292100173450307920575e-05
10,9,0.00028288322706888197576036159119894364266656339168549
10,10,1.1746527976865209371391818304886101032025180757046e-05
10,11,1.9281852667325815801999556314827444225556973833591e-06
10,12,9.8581337929630672681398373402572588020120747387409e-05
11,1,0.013621562892528464583374869789622607640922069549561
11,2,0.0017358655466890937982271658768240740755572915077209
11,3,0.00056084032572853979338456387182532125734724104404449
11,4,0.00019782023837800846743396887550403562272549606859684
11,5,7.7457871155450959150395862096161181398201733827591e-05
11,6,3.7380998063316201970082003347428667439089622348547e-05
11,7,-0.00016117766012347617778956154754865792710916139185429
11,8,4.5496191907267081620466764313448493339819833636284e-05
11,9,-0.00019084349955111450667169514794352380704367533326149
11,10,3.9673523493008847377264830535992246041132602840662e-05
11,11,-0.00015353136219208076145188723860002255605650134384632
11,12,-3.9618276060193699267698158594797064324666280299425e-05
12,1,0.0092967605700301197274582065688264265190809965133667
12,2,0.0009388539974385117945973600050990626186830922961235
12,3,0.00039208758167674605124922160293010620080167427659035
12,4,6.6713394936131225785788667614895075530512258410454e-05
12,5,3.6762815040719951022608197321872580687340814620256e-05
12,6,4.3912864994268109651142512062094169777992647141218e-05
12,7,6.9398396731891725391916381227019883226603269577026e-05
12,8,-0.00027732327833758301741801099993267598620150238275528
12,9,-0.00029044866377134583891594932225643788115121424198151
12,10,-2.2667781234885744419014705353099259355076355859637e-05
12,11,2.3551005487493572465194577314484547514439327642322e-05
12,12,0.00012095105841237945389944619112299051266745664179325
