R,T,Mean
1,1,0.6135778987368016856862595886923372745513916015625
1,2,0.41018885397920717972297666165104601532220840454102
1,3,0.27972595466799565766535806687898002564907073974609
1,4,0.19160526665858171324607894803193630650639533996582
1,5,0.13152635581446267543093142649013316258788108825684
1,6,0.090249219471854574825542272265010979026556015014648
1,7,0.062121378478741967610332608273893129080533981323242
1,8,0.042901301291313941044247570744119002483785152435303
1,9,0.029485859249050283548143625012016855180263519287109
1,10,0.020114947614655900171021229994039458688348531723022
1,11,0.013581271615884146428121503902275435393676161766052
1,12,0.0092275590578076802789064814191988261882215738296509
2,1,0.41005729788433931126689913071459159255027770996094
2,2,0.21719320480061504730073806967993732541799545288086
2,3,0.12368631050030208518020202745901769958436489105225
2,4,0.071772393427138272969934007505798945203423500061035
2,5,0.041908863285785906416247570405175792984664440155029
2,6,0.024719627082823610042527917585175600834190845489502
2,7,0.0145012832923029372916845503027616359759122133255
2,8,0.0085758451247982848963946622689036303199827671051025
2,9,0.004970195816608992400720268278746516443789005279541
2,10,0.0029339879581789379825451646865985821932554244995117
2,11,0.0016089309964295223955021985062785461195744574069977
2,12,0.00097474620266099363998651972096354256791528314352036
3,1,0.27934649262695565585801205088500864803791046142578
3,2,0.12350560802994729747705804356883163563907146453857
3,3,0.06314420122528975609643708821749896742403507232666
3,4,0.033306361505104631337559339954168535768985748291016
3,5,0.018019696706911801642458925698520033620297908782959
3,6,0.0096583073223887282166000289862495264969766139984131
3,7,0.005232493301374342535570161061286853509955108165741
3,8,0.0031005668503807336244815218151416047476232051849365
3,9,0.0015025772065561640491310191336538082396145910024643
3,10,0.00084334625828117349300577787474253455002326518297195
3,11,0.00033658300680223677886146460558336457324912771582603
3,12,0.00023651454458250927470781832528956556416233070194721
4,1,0.19095366064791213789320067917287815362215042114258
4,2,0.071605934005286281385238567054329905658960342407227
4,3,0.033383594837391020182515433134540216997265815734863
4,4,0.016507180563856121285892797345695726107805967330933
4,5,0.0085307062301155974631816647502091655042022466659546
4,6,0.0045477951899676833866226211000594048528000712394714
4,7,0.0023388591538655223098230884204440371831879019737244
4,8,0.0012058126394193478814198527970802388153970241546631
4,9,0.00055169440885266139620174419277986999077256768941879
4,10,0.00049167098485516924633031976554775610566139221191406
4,11,0.00036259782669049880985540079691986647958401590585709
4,12,6.5038467492909235001356804684036205799202434718609e-05
5,1,0.13069699302086801306899133123806677758693695068359
5,2,0.041616857566926131195561566755714011378586292266846
5,3,0.018245319625159753251786298733350122347474098205566
5,4,0.0084999680996518736653122516599978553131222724914551
5,5,0.0040824215696039873810252451846736221341416239738464
5,6,0.0020018242949514913203712396239097870420664548873901
5,7,0.00088360593361864580696368731693723930220585316419601
5,8,0.00026967585074140639454787216067188637680374085903168
5,9,-1.0650890874898207811107865572441966151018277741969e-05
5,10,-0.00010490782028851906631985307916110627957095857709646
5,11,-4.6623481230094202735873831766610919657978229224682e-06
5,12,8.6184957378161733345008077566973270222661085426807e-05
6,1,0.089394204270953098179219864505284931510686874389648
6,2,0.024258119650383880294697291901684366166591644287109
6,3,0.0096494844616462731312633849256599205546081066131592
6,4,0.0043612021793382436951613811970673850737512111663818
6,5,0.0016756266007721713155037557285709226562175899744034
6,6,0.0010424469968024333878242604356501033180393278598785
6,7,0.00039791372144678491826544353138217502419138327240944
6,8,0.00027086104772228186297541863147841922909719869494438
6,9,0.00011694380932072284684508645113965030759572982788086
6,10,-1.4569038574045820388729553795936766391605488024652e-05
6,11,-0.00027858473627091328433946770815055060666054487228394
6,12,-0.00010900014141985035136077353268291290078195743262768
7,1,0.061068156050776568888327489048606366850435733795166
7,2,0.013958415835570782762009578448214597301557660102844
7,3,0.0048679689217424517572174735846601834055036306381226
7,4,0.0023479562720018967020285671765122970100492238998413
7,5,0.0005105347022230349168792074010525539051741361618042
7,6,0.00056851211082725315766606133394134303671307861804962
7,7,0.00036489980218853826973018916746127615624573081731796
7,8,0.00033474928673906241506294523269104956852970644831657
7,9,-0.00045091760884875706173399723120098769868491217494011
7,10,-0.00024297969979145283181583281351123559943516738712788
7,11,4.1260190361343795624558122847602703586744610220194e-05
7,12,-0.00012189164341421204838106229217942200193647295236588
8,1,0.041939546505653624297593751180102117359638214111328
8,2,0.0080644944086762336554752295114667504094541072845459
8,3,0.0024369690374631139753724973218140803510323166847229
8,4,0.0011272297257087036254086243047822790686041116714478
8,5,0.00038063071994681957430778362905243739078287035226822
