R,T,Mean
1,1,0.61369667449921261326295507387840189039707183837891
1,2,0.41042403630617579901596059244184289127588272094727
1,3,0.27978903788963704890591088769724592566490173339844
1,4,0.19137854104361487483920711838436545804142951965332
1,5,0.1310724072965950004476809453990426845848560333252
1,6,0.089944570403055423835070314453332684934139251708984
1,7,0.061802924040245212078392711418928229250013828277588
1,8,0.042607964466839502726269728327679331414401531219482
1,9,0.029193687452241684487930228897312190383672714233398
1,10,0.019984893606269364674243860235947067849338054656982
1,11,0.013743708113174480517360009912408713717013597488403
1,12,0.0093456742391793620750028992461011512205004692077637
2,1,0.41026071939877167826793424865172710269689559936523
2,2,0.21745624009121650166420636196562554687261581420898
2,3,0.12397638256706645931704002805417985655367374420166
2,4,0.072049345042748152989631194031971972435712814331055
2,5,0.042164146447957073782220049906754866242408752441406
2,6,0.024589286501958827063640811161349120084196329116821
2,7,0.014345993025720380278920096372985426569357514381409
2,8,0.0085103886694001089352479283434149692766368389129639
2,9,0.0050962193330605703653346516546207567444071173667908
2,10,0.00307701350822966231829402872222090081777423620224
2,11,0.0018460073228086894877447710072715381102170795202255
2,12,0.0011640992280050751431913491629188683873508125543594
3,1,0.27960123156444299796774544120125938206911087036133
3,2,0.12356767751159025703344696012209169566631317138672
3,3,0.062885107315056421040111445108777843415737152099609
3,4,0.033126000179984266269528347947925794869661331176758
3,5,0.017911198737679691339597098931335494853556156158447
3,6,0.0097822692097792873777706290638889186084270477294922
3,7,0.005323503020795775954321360501353410654701292514801
3,8,0.0032051762251489191585251958827029739040881395339966
3,9,0.0018727481066632845757569114653051656205207109451294
3,10,0.00092435796188985097296408888212226884206756949424744
3,11,0.00060300879578786348647612136630868917563930153846741
3,12,0.00042861378299440786076093812262399751489283517003059
4,1,0.1916469860613848052999230731074931100010871887207
4,2,0.07172875084835286796369757666980149224400520324707
4,3,0.033326442760309084312186911347453133203089237213135
4,4,0.016309507142254639489031831089960178360342979431152
4,5,0.0083128914519502716817811460714437998831272125244141
4,6,0.0042690175205642956132723320195054839132353663444519
4,7,0.0023527324964918864061425018974205158883705735206604
4,8,0.0012951261108192560749657884500152249529492110013962
4,9,0.00071376656788197441905891027502661927428562194108963
4,10,0.00022683514189531298315544161070533846213947981595993
4,11,0.00021828007722166941121343108900276774875237606465816
4,12,5.0615913445898329822789790677362020687723997980356e-05
5,1,0.13157984081059834191584911877725971862673759460449
5,2,0.042060961801004756455135691339819459244608879089355
5,3,0.017927922017247008290574683542217826470732688903809
5,4,0.0080689192593676340586883455330280412454158067703247
5,5,0.0040696288554636890835713991521060961531475186347961
5,6,0.0019170251609650992580952122423809669271577149629593
5,7,0.00091420767265906169481148868527498052571900188922882
5,8,0.00045208982959795134416031148205661338579375296831131
5,9,0.00046243330864411259610580184897798972087912261486053
5,10,0.00021788119477562090781606884970500459530740045011044
5,11,0.00031010911233756105562925364793613880465272814035416
5,12,4.8426222253130111810789926174436459405114874243736e-05
6,1,0.090323560233728505952655041255638934671878814697266
6,2,0.024624663940786852694975195277038437779992818832397
6,3,0.0094985012124625938650934742213394201826304197311401
6,4,0.0041764261195853212560447076384662068448960781097412
6,5,0.0021276905672127552869576927463413085206411778926849
6,6,0.0011466044443384922849743512429654401785228401422501
6,7,0.00032651708515952777671376150436799434828571975231171
6,8,0.00016790869329238227651394932404826931815478019416332
6,9,-3.0720330503691530227641792727411029773065820336342e-05
6,10,-0.00026543855281920333962983327147355794295435771346092
6,11,-0.00015179161492978986559669596356769716294365935027599
6,12,2.5974380141502242822166071634093498232687124982476e-05
7,1,0.061955533622018790773644525415875250473618507385254
7,2,0.014579788070560019408450358469053753651678562164307
7,3,0.005356450948535583858611808238947560312226414680481
7,4,0.0022549054281240676379793885786284590722061693668365
7,5,0.00096465108239299158978535819741750856337603181600571
7,6,0.00013340774140788280569848434087276700665825046598911
7,7,0.00011676659862107958574774929649819910082442220300436
7,8,-9.7303431806577744605721291826228025456657633185387e-05
7,9,-0.00021143834636487497712423189177854965237202122807503
7,10,6.8107600737337028855029191776182528883509803563356e-06
7,11,0.00020856536162972268773525830187764995571342296898365
7,12,3.2140025931327364583974665057652941868582274764776e-05
8,1,0.042558813201927267466651017002732260152697563171387
8,2,0.0086660637220139745406921605308525613509118556976318
8,3,0.0031129967931220162320749000883779444848187267780304
8,4,0.0011887823995434889951666734830837413028348237276077
8,5,0.00045647808592141144064247004763501536217518150806427
8,6,0.00030172276688940477193390243826343066757544875144958
8,7,8.8492383891046385311143773755304664518916979432106e-05
8,8,-0.00016094977142334853325265908718932905685505829751492
8,9,0.00019777999759398130416587768820591008989140391349792
8,10,0.00016706658251777761498707564058463503897655755281448
8,11,0.00010058328823060310396562966328559696194133721292019
8,12,-0.00021297184449327595892088871298852836844162084162235
9,1,0.02928331752685279371073434617755992803722620010376
9,2,0.0049957532135625004957035777408691501477733254432678
9,3,0.0015327193432682210180034720892194854968693107366562
9,4,0.00051561321161178034263444791562847058230545371770859
9,5,0.00036122670922265789732186203053743156488053500652313
9,6,4.9044365508898165662617779636534010023751761764288e-05
9,7,2.4559976263329193728194091428385092967801028862596e-05
9,8,-0.00012202073110798325017000570680281157365243416279554
9,9,-0.00026376501516916025938744305712191362545127049088478
9,10,1.5643524689532645134595195690607738470134790986776e-05
9,11,0.00033885229739202832191860559341023417800897732377052
9,12,-0.00011828197888954375210056324529972471282235346734524
10,1,0.020223168894271753570635041796776931732892990112305
10,2,0.0028731148105133408679479067870943254092708230018616
10,3,0.00068397239041359167693173715107946009084116667509079
10,4,0.00033106276027270007018821207367409442667849361896515
10,5,-0.00013657068584634551129328161600540170184103772044182
10,6,-1.4702457745447609246372717983764033533589099533856e-05
10,7,6.7523026726431462714479725395477771598962135612965e-05
10,8,1.7476889923317566509844422917296924424590542912483e-05
10,9,-0.00025351038853794360299412358195070282818051055073738
10,10,-0.00012590152398054313106004475919519336457597091794014
10,11,-0.00013903231456739332605812564658265273465076461434364
10,12,2.9530499815623029440537355982954181854438502341509e-05
11,1,0.014107119435934322923542616479153366526588797569275
11,2,0.0015947276945393301216674641906934084545355290174484
11,3,0.00022303970523161793944842690162744247572845779359341
11,4,0.00010649724172714603801902927271427756750199478119612
11,5,-0.0001160209657172609236039373392657125805271789431572
11,6,0.00014456830902961437333026362139776210824493318796158
11,7,5.7409197524555209679857775695310806440829765051603e-05
11,8,0.00011232141937409660431470420638433438398351427167654
11,9,-5.3205010891972683820423661860132824585889466106892e-05
11,10,1.7020628164988253061681508504499049649894004687667e-05
11,11,0.00021900252932123979499913490887053058031597174704075
11,12,-0.0002005163883307584213495922131897941653733141720295
12,1,0.0099588667487025966940095145218947436660528182983398
12,2,0.0011297114822189657529910578048770730674732476472855
12,3,0.00027776778792396879897916295298898603505222126841545
12,4,0.00018624830945195632470740010333543068554718047380447
12,5,1.8972428223903535363711186922941465127223636955023e-05
12,6,-0.00020130079894728993201470645946216109223314560949802
12,7,-4.3886542751688181694647537811615478631210862658918e-06
12,8,-1.9142055729633910876640381926172551629861118271947e-05
12,9,0.00019547463934433933064986621541692102255183272063732
