R,T,Mean
1,1,0.61359686447380279439300920785171911120414733886719
1,2,0.41021587275127530114460228105599526315927505493164
1,3,0.27971166289223992063028845223016105592250823974609
1,4,0.1917380079437134010600374267596635036170482635498
1,5,0.13154617084022526829478749732516007497906684875488
1,6,0.090380288000284678129325754980527563020586967468262
1,7,0.062270714443265019755191502781599410809576511383057
1,8,0.042796574280487512109694137052429141476750373840332
1,9,0.02931525388077065377712138172228151233866810798645
1,10,0.020035554479050071002843580458829819690436124801636
1,11,0.013903041479476654224134435366977413650602102279663
1,12,0.0097235537215354227863484126714865851681679487228394
2,1,0.41005022090493792319421118008904159069061279296875
2,2,0.2172492280479325077457986026274738833308219909668
2,3,0.12378541237308735012412341802701121196150779724121
2,4,0.07211796982417219281646936224206001497805118560791
2,5,0.042325120761829697346723122564071672968566417694092
2,6,0.024854479655412375915801703740726225078105926513672
2,7,0.014527196032011984241916202620359399588778614997864
2,8,0.0084560254893007238963242855334101477637887001037598
2,9,0.0050504573545281736951517714828696625772863626480103
2,10,0.0031587204661269008103274824605932735721580684185028
2,11,0.0019446542914165149216337846738156258652452379465103
2,12,0.0010697017044233817634202310387081524822860956192017
3,1,0.27917154347704581374145504923944827169179916381836
3,2,0.12327591970330642467956749896984547376632690429688
3,3,0.062778369024274568999111068023921689018607139587402
3,4,0.033267364481536242093451249957070103846490383148193
3,5,0.01817368278475769635682546265798009699210524559021
3,6,0.0098233160487792795662054246008665359113365411758423
3,7,0.0051555428319832660721822037430683849379420280456543
3,8,0.0027603300157761113953203135906733223237097263336182
3,9,0.0016984200966356881312702142849957454018294811248779
3,10,0.0011160860341742088932409648904808818770106881856918
3,11,0.00078649093309870988458692986355913490115199238061905
3,12,0.00034252129160189452279985933280670451495097950100899
4,1,0.19094162743985126917678485369833651930093765258789
4,2,0.071408358187869405697689728640398243442177772521973
4,3,0.033081877815468445358515481302674743346869945526123
4,4,0.016303474676744655197380140521090652327984571456909
4,5,0.008306327712176686181577700551770249148830771446228
4,6,0.0043496213969610713484525987837514549028128385543823
4,7,0.0023515729046643730516807924146860386827029287815094
4,8,0.0011873770969396426049752291120853442407678812742233
4,9,0.00047626283039774056169562976847942081803921610116959
4,10,9.8759884577199528554562746318623567276517860591412e-05
4,11,3.1362363226403357089125401024887196399504318833351e-05
4,12,9.2059558662991350071538865229570092196809127926826e-05
5,1,0.13082768431978797352144283649977296590805053710938
5,2,0.041516212335586805126652620856475550681352615356445
5,3,0.017870812899096439468893393609505437780171632766724
5,4,0.0083419584021444982691040337385857128538191318511963
5,5,0.0041468914191492194445953778370039799483492970466614
5,6,0.002233694479355309396584328140988873201422393321991
5,7,0.0010637454291858943443427332198325530043803155422211
5,8,0.00028465391149220094441432693521676355885574594140053
5,9,0.00021784723532632869862080138290139075252227485179901
5,10,0.00019740064782926831205532580693073896327405236661434
5,11,-0.00024690582475139153913537559681401489797281101346016
5,12,-0.00016593586088216693403239732074183621080010198056698
6,1,0.089643369259268246285188297406421042978763580322266
6,2,0.023848627896307855039692569221188023220747709274292
6,3,0.0096364986141837423450073885078381863422691822052002
6,4,0.0044355975852762817568386566335902898572385311126709
6,5,0.0022109329920043259941342395080710048205219209194183
6,6,0.00099714275310790992552789635539056689594872295856476
6,7,0.00036835591797808000429428898492290045396657660603523
6,8,0.00016485240302186262737957345159145461366279050707817
6,9,6.4666298557589817945848165159361542464466765522957e-05
6,10,-5.4560416518816784816649223532891710419789887964725e-05
6,11,-2.7492973681564709832606582112779491922083252575248e-06
6,12,-0.00027291603011233374256189199158484370855148881673813
7,1,0.061544930891627186442249808351334650069475173950195
7,2,0.013864941099403421675972936100151855498552322387695
7,3,0.0050587509563948989191328742265341134043410420417786
7,4,0.0020788372305133432683954541886350853019393980503082
7,5,0.00094285344615711147962799909549858057289384305477142
7,6,0.00057104158050235321458787396409206849057227373123169
7,7,0.00027009403517554354161658847210958356299670413136482
7,8,0.0001695246026195542179710457064700790397182572633028
7,9,0.00028333077379657150901212658844485758891096338629723
7,10,7.0936727354960169857588103692336289896047674119473e-05
7,11,-0.00021059035969813339481473968284319653321290388703346
7,12,-5.101233546127065845684003808635509358282433822751e-05
8,1,0.042295094483818788944073929769729147665202617645264
8,2,0.0079154078155237398567445339381265512201935052871704
8,3,0.0028837226320394186533657698845445338520221412181854
8,4,0.00098911266216203993367761526656067871954292058944702
8,5,0.00059228459973336311950725674435602741141337901353836
8,6,-1.379757985803390866856327906520007786639325786382e-05
8,7,0.00027676732335516130616495655836217792966635897755623
8,8,3.1653022765125847395699387742951103064115159213543e-05
8,9,-0.00028801490449976676266538588855325997428735718131065
8,10,-6.4150782933937721156866795801931857567979022860527e-05
8,11,-4.4130324708680021149245081835132964442891534417868e-05
8,12,-4.3855380432573043642061755287286928250978235155344e-05
9,1,0.028965029601194187958146386563385021872818470001221
9,2,0.0046781217014135491327753157975166686810553073883057
9,3,0.001713800390974778075844908720171133609255775809288
9,4,0.00050124826485011691763055141635163636237848550081253
9,5,0.0002012218102483416092961937549077333642344456166029
9,6,-1.8175525450390092211750206474540902945591369643807e-05
9,7,-9.2306098644633402918249776014647522970335558056831e-05
9,8,-0.00017985865552331862181854871263197992448112927377224
9,9,-0.00025503171669277930645736152115432560094632208347321
9,10,0.00022100217768652362588036042190253738226601853966713
9,11,-0.0001928498394464763432062937020816661970457062125206
9,12,-0.00014659840568254759482318128060995832129265181720257
10,1,0.019830671212183230422976265572287957184016704559326
10,2,0.0027366517758156791613466385371111755375750362873077
10,3,0.00070479798761684416246592332910836375958751887083054
10,4,0.00025943294166234052988695424346587969921529293060303
10,5,-0.0001650656447158723968190313646786648860143031924963
10,6,-4.4464025131722013895688855322774202250002417713404e-05
10,7,8.819183363198514121481311200945185646560275927186e-06
10,8,0.00016448931224511428948048541442972236836794763803482
10,9,0.00013332860570773540065912798890934709561406634747982
10,10,-3.0258443586698596545082190489850404446769971400499e-05
10,11,-3.5490537261303480541518862168004488921724259853363e-05
10,12,0.00043362840405244344309937387649256379518192261457443
11,1,0.013474125644245348032423947870483971200883388519287
11,2,0.0016153371584238045664816407764874384156428277492523
11,3,0.0004837047427246712102272274691472375707235187292099
11,4,6.6656633934482307579996729351989870338002219796181e-05
11,5,-5.7509673254814294167847239791502289563140948303044e-06
11,6,9.5998125834466447778813014135579351204796694219112e-05
11,7,0.00015108874165714651855232930621752984734484925866127
11,8,7.8144520962973256883281336637736558259348385035992e-05
11,9,0.00025386187842793718873538044711324346280889585614204
11,10,0.00031753471443954854993088621206709376565413549542427
11,11,-0.00014365248790990618873650297437905010156100615859032
11,12,-7.3512606839703037117129957866978884339914657175541e-05
12,1,0.0093914234599122674296278745487143169157207012176514
12,2,0.00087351126118028995289760407771950667665805667638779
12,3,0.00038936420771310903616094223345100999722490087151527
12,4,-9.654793916324205750503079093149949585495050996542e-05
12,5,8.0755263909209286832431573532886659450014121830463e-05
12,6,-6.0451204599639023792682912539220296821440570056438e-05
12,7,-4.7673769254399717880486125887173898263426963239908e-05
12,8,-0.00016803565974276565364933788693235783284762874245644
12,9,0.0003536442946335630077049627661978092874051071703434
12,10,-7.1315006039406004392593695084823224306092015467584e-06
12,11,-1.1573897601261683558437377838945536723258555866778e-05
12,12,-0.00016956843738198673502207136642994100839132443070412
