R,T,Mean
1,1,0.61377048006611101271801089751534163951873779296875
1,2,0.41034363247951477493558058995404280722141265869141
1,3,0.27971408129758518201768424660258460789918899536133
1,4,0.19156501289677535515565409696137066930532455444336
1,5,0.13145170402555567124025515113316942006349563598633
1,6,0.090030970802990037404889278604969149455428123474121
1,7,0.061666618190412463007543664161858032457530498504639
1,8,0.042242790718590883525251911123632453382015228271484
1,9,0.028854243031923416940021098753277328796684741973877
1,10,0.019660674178461134270490262565544981043785810470581
1,11,0.01342697441497950339162059663067338988184928894043
1,12,0.0091573400535311169634589134602720150724053382873535
2,1,0.41037534156904337256932535638043191283941268920898
2,2,0.21720003031695261919153949747851584106683731079102
2,3,0.12368544181098935219598189405587618239223957061768
2,4,0.071901231233256673869291830669681075960397720336914
2,5,0.042158439831474658898713414600933901965618133544922
2,6,0.024653472852511855439860966043852386064827442169189
2,7,0.014492234788521568891739299544951791176572442054749
2,8,0.0083994225117036136474268914753338322043418884277344
2,9,0.0050213755074617390933289229337788128759711980819702
2,10,0.0029350690627530690197943830099802653421647846698761
2,11,0.0016019560338048168847413510462729391292668879032135
2,12,0.00089646630222014881458209023534777770692016929388046
3,1,0.27963121591418527156491791174630634486675262451172
3,2,0.12347895689398948049220194889130652882158756256104
3,3,0.062694851787755190297701801682705990970134735107422
3,4,0.033488475270893235113955910264849080704152584075928
3,5,0.017892598510214317852895504756816080771386623382568
3,6,0.0097071266155948614934301232892721600364893674850464
3,7,0.0052534492075585956238903406756435288116335868835449
3,8,0.0029139143467863735763312416082726485910825431346893
3,9,0.0018605272013566083108560000880515872268006205558777
3,10,0.0011675012540840606911629606656788382679224014282227
3,11,0.00041800769782463647900733194617828303307760506868362
3,12,0.00019159693339355153671350884270196957004372961819172
4,1,0.19144835742722562943463060491922078654170036315918
4,2,0.071671534924205498873206465759722050279378890991211
4,3,0.033094379875264298696002640554070239886641502380371
4,4,0.016274128321480393205566983283461013343185186386108
4,5,0.0080283395647597361605152244123928539920598268508911
4,6,0.004135303984258448077582226432014067540876567363739
4,7,0.0022687745925220382560427712093087393441237509250641
4,8,0.0013263860337724346465104741099594320985488593578339
4,9,0.0009828230992470518394277245732837400282733142375946
4,10,0.00021229828895118422050873607798138209545868448913097
4,11,0.00023130206989877748289391456992802886816207319498062
4,12,2.7718539781000514171617130076974433450232027098536e-05
5,1,0.13124194874378528052893955191393615677952766418457
5,2,0.041880093018397901438731878442922607064247131347656
5,3,0.017626624236205951090639132416981738060712814331055
5,4,0.0083599141645468756645076524591786437667906284332275
5,5,0.0039374406409256618860625920319762371946126222610474
5,6,0.0016796209421917488238684690315949410432949662208557
5,7,0.00091850066395145343271094739989734989649150520563126
5,8,0.00029692294486064965556085248898909867421025410294533
5,9,0.00021457454130507987058278096537122792142326943576336
5,10,0.00021612685663330419207767141287490630929823964834213
5,11,-9.5399125175607454559315034892108542408095672726631e-05
5,12,0.0001499877423872083474862965113416635176690760999918
6,1,0.090130524835840136743669859242800157517194747924805
6,2,0.024817492589662096952318748321886232588440179824829
6,3,0.0096017770061534377101786219554924173280596733093262
6,4,0.0041732042249344788314990850608410255517810583114624
6,5,0.0019731862579324870379804401920864620478823781013489
6,6,0.00082808673757067089316735719606299426231998950242996
6,7,0.00031872175579850022799840991716280313994502648711205
6,8,6.5436479148132210359803395682831705926219001412392e-05
6,9,9.7894622241731686575379189907408772342023439705372e-05
6,10,0.00018454750045046922589386806379252448095940053462982
6,11,0.00021709370856164904133034365685261946055106818675995
6,12,-2.903569039030283775119217759552725510729942470789e-05
7,1,0.061773067614664722846384847798617556691169738769531
7,2,0.014675536163572144854327916618785820901393890380859
7,3,0.005252854580134708011029953667048175702802836894989
7,4,0.0018453493534146638878346013967757244245149195194244
7,5,0.0011626663924999892409106738710988793172873556613922
7,6,0.00028706230210584423060901637647646111872745677828789
7,7,-2.7710172316382348335151233897910572068212786689401e-05
7,8,9.6787018249677600695637935679371821606764569878578e-05
7,9,0.00015190484926211537237104864939141180002479813992977
7,10,-0.00024401182100677016955335429937434810199192725121975
7,11,-0.00013645246616202536351671048553413356785313226282597
7,12,1.1144905274896944449088305451045499694373575039208e-05
8,1,0.04225055689707669925869737426182837225496768951416
8,2,0.0086008331562747834808657643179685692302882671356201
8,3,0.0025936307842110519795986167679302525357343256473541
8,4,0.00087258313896857191051953384075545727682765573263168
8,5,0.00027526557998555086599276608971820223814575001597404
8,6,0.00026685272504053687142588913161489472258836030960083
8,7,-9.8542329973581152991086995474034893049974925816059e-05
8,8,7.5618841473391339483810236199445853344514034688473e-05
